"","Gene","RE22","BAA_450"
"854","Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79), plant type",1,1
"855","Hypothetical protein COG3496",1,1
"856","Amine oxidase, flavin-containing",1,1
"857","FIG002994: Putative transcriptional regulator",1,1
"858","Protease HtpX",1,1
"859","Dethiobiotin synthase BioD (EC 6.3.3.3)",1,1
"860","Malonyl-[acyl-carrier protein] O-methyltransferase (EC 2.1.1.197)",1,1
"861","8-amino-7-oxononanoate synthase (EC 2.3.1.47)",1,1
"862","Biotin synthase (EC 2.8.1.6)",1,1
"863","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)",1,1
"864","Outer membrane porin",1,1
"865","ATP-dependent helicase DinG/Rad3",1,1
"866","FIG011065: hypothetical protein",1,1
"867","Primosomal replication protein N prime prime",1,1
"868","Uncharacterized protein YbaM",1,1
"869","LSU ribosomal protein L16p arginine hydroxylase",1,1
"870","Exodeoxyribonuclease III (EC 3.1.11.2)",1,1
"871","Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9), FabV => refractory to triclosan",1,1
"872","Acyl-CoA dehydrogenase",1,1
"873","Predicted transcriptional regulator for fatty acid degradation FadQ, TetR family",1,1
"874","Uncharacterized integral membrane, glycosyltransferase",1,1
"875","Polymyxin resistance protein ArnC, glycosyl transferase (EC 2.4.-.-)",1,1
"876","pyridoxal phosphate-dependent deaminase, putative",1,1
"877","ROK family sugar kinase or transcriptional regulator",1,1
"878","Mannose-6-phosphate isomerase (EC 5.3.1.8)",1,1
"879","Predicted DNA-binding protein",1,1
"880","Phospholipid-binding protein",1,1
"881","Putative dioxygenase",1,1
"882","Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)",1,1
"883","Type I restriction-modification system, specificity subunit S",1,1
"884","Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)",1,1
"885","DNA binding domain, excisionase family",1,0
"886","tRNA-Ser-GGA",1,1
"887","L-alanine exporter AlaE",1,1
"888","Secreted trypsin-like serine protease",1,1
"889","Putative potassium channel protein",1,1
"890","Quinolinate synthetase (EC 2.5.1.72)",1,1
"891","Cell division coordinator CpoB",1,1
"892","Tol-Pal system peptidoglycan-associated lipoprotein PAL",1,1
"893","Tol-Pal system beta propeller repeat protein TolB",1,1
"894","TolA protein",1,1
"895","Tol biopolymer transport system, TolR protein",1,1
"896","Tol-Pal system protein TolQ",1,1
"897","Tol-Pal system-associated acyl-CoA thioesterase",1,1
"898","Cyd operon protein YbgE",1,1
"899","Cytochrome d ubiquinol oxidase subunit X (EC 1.10.3.-)",1,1
"900","Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)",1,1
"901","Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)",1,1
"902","Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)",1,1
"903","Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)",1,1
"904","Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)",1,1
"905","Alpha-galactosidase",1,1
"906","Putative short-chain dehydrogenase",1,1
"907","Selenoprotein O and cysteine-containing homologs",1,1
"908","Trimethylamine-N-oxide reductase (EC 1.7.2.3), TorA",1,1
"909","Trimethylamine-N-oxide reductase associated c-type cytochrome, TorC",1,1
"910","TorE protein",1,1
"911","Probable iron export permease protein FetB",1,1
"912","Formate efflux transporter FocA",1,1
"913","DNA-binding protein inhibitor Id-2-related protein",1,1
"914","Uncharacterized SAM-binding protein YdcF",1,1
"915","ATP-dependent Clp protease ATP-binding subunit ClpA",1,1
"916","ATP-dependent Clp protease adaptor protein ClpS",1,1
"917","Cold shock protein of CSP family => CspD (naming convention as in E.coli)",1,1
"918","Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42)",1,1
"919","LSU rRNA pseudouridine(2457) synthase (EC 5.4.99.20)",1,1
"920","Aspartyl-tRNA synthetase (EC 6.1.1.12)",1,1
"921","UPF0759 protein YecE",1,1
"922","Carboxy-S-adenosyl-L-methionine synthase",1,1
"923","tRNA ho5U(34) carboxymethyltransferase",1,1
"924","FIG008443: hypothetical protein",1,1
"925","FIG139976: hypothetical protein",1,1
"926","FIG002781: Alpha-L-glutamate ligase family protein",1,1
"927","Alkan-1-ol dehydrogenase, PQQ-dependent (EC 1.1.99.20)",1,1
"928","Aldehyde dehydrogenase (EC 1.2.1.3); Probable coniferyl aldehyde dehydrogenase (EC 1.2.1.68)",1,1
"929","Chromosome partition protein MukB",1,1
"930","Chromosome partition protein MukE",1,1
"931","Chromosome partition protein MukF",1,1
"932","tRNA uridine 5-oxyacetic acid(34) methyltransferase (EC 2.1.1.-)",1,1
"933","Membrane Protein Functionally coupled to the MukBEF Chromosome Partitioning Mechanism",1,1
"934","Trimethylamine-N-oxide operon transcriptional regulatory protein TorR",1,1
"935","TorA-specific chaperone protein, TorD",1,1
"936","Purine nucleotide synthesis repressor",1,1
"937","Positive regulator of competence TfoX",1,1
"938","COG0398: uncharacterized membrane protein",1,1
"939","Beta-ketoadipate enol-lactone hydrolase, putative",1,1
"940","Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)",1,1
"941","Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)",1,1
"942","DNA topoisomerase I (EC 5.99.1.2)",1,1
"943","Protein YciN",1,1
"944","3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)",1,1
"945","FIG106692: Outer membrane lipoprotein",1,1
"946","Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)",1,1
"947","Arginyl-tRNA--protein transferase (EC 2.3.2.8)",1,1
"948","Translation initiation factor 1",1,1
"949","Thymidine kinase (EC 2.7.1.21)",1,1
"950","Cysteinyl-tRNA synthetase (EC 6.1.1.16)",1,1
"951","Peptidyl-prolyl cis-trans isomerase PpiB (EC 5.2.1.8)",1,1
"952","UDP-2,3-diacylglucosamine diphosphatase (EC 3.6.1.54)",1,1
"953","UPF0225 protein YchJ",1,1
"954","Uncharacterized protein YeaC",1,1
"955","FIG01200921: hypothetical protein",1,1
"956","Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12)",1,1
"957","NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)",1,1
"958","Aldose 1-epimerase family protein YeaD",1,1
"959","23S rRNA (guanine(745)-N(1))-methyltransferase (EC 2.1.1.187)",1,1
"960","Uncharacterized iron-regulated protein",1,1
"961","Alkaline phosphatase (EC 3.1.3.1)",1,1
"962","Lactoylglutathione lyase (EC 4.4.1.5)",1,1
"963","Small-conductance mechanosensitive channel",1,1
"964","UPF0260 protein YcgN",1,1
"965","UPF0153 protein YeiW",1,1
"966","Na+ dependent nucleoside transporter NupC",1,1
"967","Membrane-bound lytic murein transglycosylase B",1,1
"968","Protein YcgL",1,1
"969","Septum site-determining protein MinC",1,1
"970","Septum site-determining protein MinD",1,1
"971","Cell division topological specificity factor MinE",1,1
"972","Acetaldehyde dehydrogenase (EC 1.2.1.10) / Alcohol dehydrogenase (EC 1.1.1.1)",1,1
"973","UPF0056 inner membrane protein YchE",1,1
"974","Potassium voltage-gated channel subfamily KQT; possible potassium channel, VIC family",1,1
"975","Malate-2H(+)/Na(+)-lactate antiporter YqkI/MleN",1,1
"976","Glyoxalase family protein",1,1
"977","Nucleoid-associated protein NdpA",1,1
"978","UPF0352 protein YejL",1,1
"979","Inner membrane protein YejM, alkaline phosphatase superfamily",1,1
"980","tRNA-Pro-GGG",1,1
"981","EAL domain protein",1,1
"982","C4-dicarboxylate transport transcriptional regulatory protein",1,1
"983","TRAP transporter solute receptor, TAXI family precursor",1,1
"984","TRAP-type uncharacterized transport system, fused permease component",1,1
"985","tRNA-Ser-TGA",1,1
"986","FIG01204105: hypothetical protein",1,1
"987","Histone deacetylase/AcuC/AphA family protein",1,1
"988","DNA topoisomerase III (EC 5.99.1.2)",1,1
"989","Monothiol glutaredoxin GrxD",1,1
"990","Superoxide dismutase [Fe] (EC 1.15.1.1)",1,1
"991","Potential queD like 2",1,1
"992","Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)",1,1
"993","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)",1,1
"994","D-erythro-7,8-dihydroneopterin triphosphate epimerase",1,1
"995","GTP cyclohydrolase I (EC 3.5.4.16) type 1",1,1
"996","FolM Alternative dihydrofolate reductase 1",1,1
"997","Cob(I)alamin adenosyltransferase (EC 2.5.1.17)",1,1
"998","Maltose O-acetyltransferase (EC 2.3.1.79)",1,1
"999","Bacteriocin/lantibiotic efflux ABC transporter, permease/ATP-binding protein",1,1
"1000","2-oxoglutarate decarboxylase (EC 4.1.1.71)",1,0
"1001","Non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase (NADP) (EC 1.2.1.9)",1,0
"1002","Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1)",1,0
"1003","AnkB protein",1,0
"1004","Catalase KatE (EC 1.11.1.6)",1,0
"1005","AsmA protein",1,1
"1006","Uridine kinase (EC 2.7.1.48)",1,1
"1007","[4Fe-4S] cluster assembly scaffold protein Mrp (=ApbC)",1,1
"1008","Methionyl-tRNA synthetase (EC 6.1.1.10)",1,1
"1009","FIG01200476: hypothetical protein",1,1
"1010","Uridine phosphorylase (EC 2.4.2.3)",1,1
"1011","Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)",1,1
"1012","MATE efflux family protein",1,1
"1013","CBS domain protein",1,1
"1014","Molybdopterin synthase catalytic subunit MoaE (EC 2.8.1.12)",1,1
"1015","Molybdopterin synthase sulfur carrier subunit",1,1
"1016","Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17)",1,1
"1017","Molybdenum cofactor biosynthesis protein MoaB",1,1
"1018","GTP 3',8-cyclase (EC 4.1.99.22)",1,1
"1019","FIG002813: LPPG:FO 2-phospho-L-lactate transferase like, CofD-like",1,1
"1020","Phosphorelay protein LuxU",1,1
"1021","Regulatory protein LuxO",1,1
"1022","Excinuclease ABC subunit B",1,1
"1023","tRNA-Asn-GTT",1,1
"1024","Flagellar protein fliJ",1,1
"1025","Flagellar assembly protein FliH",1,1
"1026","Flagellar motor switch protein FliG",1,1
"1027","Flagellar hook-basal body complex protein FliE",1,1
"1028","Flagellar regulatory protein FleQ",1,1
"1029","putative sodium-type flagellar protein MotY precursor",1,1
"1030","Flagellar motor switch protein FliM",1,1
"1031","Flagellar motor switch protein FliN",1,1
"1032","Flagellar biosynthesis protein FliR",1,1
"1033","FIG01200213: hypothetical protein",1,1
"1034","Flagellin protein FlaA",1,1
"1035","Flagellar cap protein FliD",1,1
"1036","Flagellar biosynthesis protein FliS",1,1
"1037","LafD",1,1
"1038","Flagellar hook-length control protein FliK",1,1
"1039","Flagellar basal body-associated protein FliL",1,1
"1040","Flagellar motor rotation protein MotA",1,1
"1041","Flagellar motor rotation protein MotB",1,1
"1042","putative flagellin",1,1
"1043","Flagellar hook-associated protein FlgL",1,1
"1044","Flagellar hook-associated protein FlgK",1,1
"1045","Flagellar protein FlgJ [peptidoglycan hydrolase]",1,1
"1046","Flagellar L-ring protein FlgH",1,1
"1047","Flagellar basal-body rod protein FlgC",1,1
"1048","Flagellar basal-body rod protein FlgB",1,1
"1049","Flagellar basal-body P-ring formation protein FlgA",1,1
"1050","LfgM",1,1
"1051","LfgN",1,1
"1052","Membrane-bound lytic murein transglycosylase D",1,1
"1053","Electron transport complex protein RnfA",1,1
"1054","Electron transport complex protein RnfB",1,1
"1055","Electron transport complex protein RnfC",1,1
"1056","Electron transport complex protein RnfD",1,1
"1057","Electron transport complex protein RnfG",1,0
"1058","Electron transport complex protein RnfE",1,1
"1059","Endonuclease III (EC 4.2.99.18)",1,1
"1060","FIG01199914: hypothetical protein",1,1
"1061","Sodium-type flagellar protein motY precursor",1,1
"1062","Ribonuclease T",1,1
"1063","Histidine permease YuiF",1,1
"1064","Outer membrane beta-barrel assembly protein BamC",1,1
"1065","4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)",1,1
"1066","Glycine cleavage system transcriptional antiactivator GcvR",1,1
"1067","Thiol peroxidase, Bcp-type (EC 1.11.1.15)",1,1
"1068","Putative permease PerM (= YfgO)",1,1
"1069","Predicted redox protein",1,1
"1070","Exported zinc metalloprotease YfgC precursor",1,1
"1071","Uncharacterized protein YfgD, not an arsenate reductase",1,1
"1072","Trp repressor-binding protein",1,1
"1073","FIG01201104: hypothetical protein",1,1
"1074","FIG01200261: hypothetical protein",1,1
"1075","Uracil permease @ Uracil:proton symporter UraA",1,1
"1076","Cys-tRNA(Pro) deacylase YbaK",1,1
"1077","UDP-sugar hydrolase (EC 3.6.1.45); 5'-nucleotidase (EC 3.1.3.5)",1,1
"1078","2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)",1,1
"1079","FIG002708: Protein SirB1",1,1
"1080","FIG002082: Protein sirB2",1,1
"1081","Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297)",1,1
"1082","Peptide chain release factor 1",1,1
"1083","Glutamyl-tRNA reductase (EC 1.2.1.70)",1,1
"1084","Outer membrane lipoprotein component of lipoprotein transport system LolB",1,1
"1085","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)",1,1
"1086","Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)",1,1
"1087","Peptidyl-tRNA hydrolase (EC 3.1.1.29)",1,1
"1088","GTP-binding and nucleic acid-binding protein YchF",1,1
"1089","tRNA-Met-CAT",1,1
"1090","tRNA-Leu-TAG",1,1
"1091","tRNA-Gln-TTG",1,1
"1092","Flagellin protein FlaD",1,1
"1093","Flagellin protein FlaC",1,1
"1094","Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)",1,1
"1095","Negative regulator of flagellin synthesis FlgM (anti-sigma28)",1,1
"1096","Flagellar biosynthesis protein FlgN",1,1
"1097","Flagellar protein FlgP",1,1
"1098","Flagellar protein FlgO",1,1
"1099","Flagellar protein FlgT",1,1
"1100","tRNA-Arg-CCT",1,1
"1101","Lipid A phosphoethanolamine transferase, putative",1,1
"1102","Hypothetical protein, specific for Vibrio",1,1
"1103","Outer membrane protein A precursor",1,1
"1104","Glutamyl-tRNA synthetase (EC 6.1.1.17)",1,1
"1105","FIG00921969: hypothetical protein",1,0
"1106","CopG protein",1,1
"1107","Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)",1,1
"1108","Adenylate kinase (EC 2.7.4.3)",1,1
"1109","Chaperone protein HtpG",1,1
"1110","Transmembrane regulatory protein ToxS",1,1
"1111","Putative permease",1,1
"1112","Selenoprotein W-related protein",1,1
"1113","Phosphodiesterase YfcE",1,1
"1114","Putative regulatory protein, P-II family",1,1
"1115","Cell division inhibitor Slr1223 (YfcH in EC), contains epimerase/dehydratase and DUF1731 domains",1,1
"1116","Putative NAD(P)-dependent oxidoreductase EC-YbbO",1,1
"1117","FIG000875: Thioredoxin domain-containing protein EC-YbbN",1,1
"1118","Protein QmcA (possibly involved in integral membrane quality control)",1,1
"1119","Putative activity regulator of membrane protease YbbK",1,1
"1120","VvgS protein",1,1
"1121","Chitin outer membrane porin",1,1
"1122","DNA ligase (NAD(+)) (EC 6.5.1.2)",1,1
"1123","Cell division protein ZipA",1,1
"1124","Sulfate transporter, CysZ-type",1,1
"1125","Cysteine synthase (EC 2.5.1.47)",1,1
"1126","Phosphotransferase system, phosphocarrier protein HPr",1,1
"1127","Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)",1,1
"1128","PTS system, glucose-specific IIA component (EC 2.7.1.199)",1,1
"1129","2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",1,1
"1130","tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)",1,1
"1131","Phosphate starvation-inducible protein PhoH, predicted ATPase",1,1
"1132","Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly",1,1
"1133","Magnesium and cobalt efflux protein CorC",1,1
"1134","Apolipoprotein N-acyltransferase / Copper homeostasis protein CutE",1,1
"1135","FIG002095: hypothetical protein",1,1
"1136","Leucyl-tRNA synthetase (EC 6.1.1.4)",1,1
"1137","LPS-assembly lipoprotein LptE",1,1
"1138","DNA polymerase III delta subunit (EC 2.7.7.7)",1,1
"1139","Ribosomal silencing factor RsfA",1,1
"1140","23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)",1,1
"1141","Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4)",1,1
"1142","Rod shape-determining protein RodA",1,1
"1143","Septum-associated rare lipoprotein A",1,1
"1144","D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)",1,1
"1145","Proposed lipoate regulatory protein YbeD",1,1
"1146","Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase (EC 2.3.1.181)",1,1
"1147","Lipoyl synthase (EC 2.8.1.8)",1,1
"1148","FIG01201555: hypothetical protein",1,1
"1149","Serine hydroxymethyltransferase (EC 2.1.2.1)",1,1
"1150","Uncharacterized UPF0750 membrane protein",1,1
"1151","tRNA-Tyr-GTA",1,1
"1152","Trehalose-6-phosphate hydrolase (EC 3.2.1.93)",1,1
"1153","PTS system, trehalose-specific IIB component (EC 2.7.1.201) / PTS system, trehalose-specific IIC component",1,1
"1154","Trehalose operon transcriptional repressor",1,1
"1155","FIG01200786: hypothetical protein",1,1
"1156","D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82)",1,1
"1157","Methionine ABC transporter ATP-binding protein",1,1
"1158","Methionine ABC transporter permease protein",1,1
"1159","Methionine ABC transporter substrate-binding protein",1,1
"1160","Multidrug efflux pump component MtrF",1,1
"1161","LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent",1,1
"1162","tRNA (adenine(37)-N6)-methyltransferase",1,1
"1163","Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type",1,1
"1164","Putative glutamine amidotransferase YafJ",1,1
"1165","D-sedoheptulose 7-phosphate isomerase (EC 5.3.1.28)",1,1
"1166","Acyl-coenzyme A dehydrogenase FadE (EC 1.3.8.-)",1,1
"1167","FIG004599: Hypothetical protein",1,1
"1168","DNA polymerase III epsilon subunit (EC 2.7.7.7)",1,1
"1169","Ribonuclease HI (EC 3.1.26.4)",1,1
"1170","FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-)",1,1
"1171","Hydroxyacylglutathione hydrolase (EC 3.1.2.6)",1,1
"1172","FIG01199993: hypothetical protein",1,1
"1173","UPF0294 protein YafD",1,1
"1174","Nitrogen regulatory protein P-II",1,1
"1175","Cytochrome c553",1,1
"1176","tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)",1,1
"1177","Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)",1,1
"1178","DNA polymerase III alpha subunit (EC 2.7.7.7)",1,1
"1179","Ribonuclease HII (EC 3.1.26.4)",1,1
"1180","Lipid-A-disaccharide synthase (EC 2.4.1.182)",1,1
"1181","Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)",1,1
"1182","3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)",1,1
"1183","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)",1,1
"1184","Periplasmic chaperone of outer membrane proteins Skp @ Outer membrane protein H precursor",1,1
"1185","Outer membrane protein assembly factor YaeT",1,1
"1186","Membrane-associated zinc metalloprotease",1,1
"1187","1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)",1,1
"1188","Phosphatidate cytidylyltransferase (EC 2.7.7.41)",1,1
"1189","Undecaprenyl diphosphate synthase (EC 2.5.1.31)",1,1
"1190","Ribosome recycling factor",1,1
"1191","Uridylate kinase (EC 2.7.4.22)",1,1
"1192","Translation elongation factor Ts",1,1
"1193","SSU ribosomal protein S2p (SAe)",1,1
"1194","Methionine aminopeptidase (EC 3.4.11.18)",1,1
"1195","[Protein-PII] uridylyltransferase (EC 2.7.7.59) / [Protein-PII]-UMP uridylyl-removing enzyme",1,1
"1196","UPF0325 protein YaeH",1,1
"1197","Phosphatidylglycerophosphatase A (EC 3.1.3.27)",1,1
"1198","Thiamine-monophosphate kinase (EC 2.7.4.16)",1,1
"1199","Transcription termination protein NusB",1,1
"1200","6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)",1,1
"1201","3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)",1,1
"1202","Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)",1,1
"1203","Ribonucleotide reductase transcriptional regulator NrdR",1,1
"1204","Gamma-glutamyl phosphate reductase (EC 1.2.1.41)",1,1
"1205","Glutamate 5-kinase (EC 2.7.2.11) / RNA-binding C-terminal domain PUA",1,1
"1206","Curlin genes transcriptional activator",1,1
"1207","Fermentation/respiration switch protein",1,1
"1208","Xanthine-guanine phosphoribosyltransferase (EC 2.4.2.22)",1,1
"1209","Xanthine/uracil/thiamine/ascorbate permease family protein",1,1
"1210","Cytosol nonspecific dipeptidase (EC 3.4.13.18)",1,1
"1211","hypothetical protein sometimes fused to ribosomal protein S6 glutaminyl transferase",1,1
"1212","Ribosomal protein S6--L-glutamate ligase",1,1
"1213","FIG003737: Predicted deacylase",1,1
"1214","Sodium-dependent transporter",1,1
"1215","Transcription elongation factor",1,1
"1216","RecQ-like DNA helicase Pfl_0275",1,1
"1217","DNA polymerase IV (EC 2.7.7.7)",1,1
"1218","Pole remodelling regulatory diguanylate cyclase",1,1
"1219","Probable exported or periplasmic protein in ApbE locus",1,1
"1220","FAD:protein FMN transferase (EC 2.7.1.180) @ FAD:protein FMN transferase (EC 2.7.1.180), NqrBC-associated",1,1
"1221","Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.8)",1,1
"1222","Na(+)-translocating NADH-quinone reductase subunit E (EC 1.6.5.8)",1,1
"1223","Na(+)-translocating NADH-quinone reductase subunit D (EC 1.6.5.8)",1,1
"1224","Na(+)-translocating NADH-quinone reductase subunit C (EC 1.6.5.8)",1,1
"1225","Na(+)-translocating NADH-quinone reductase subunit B (EC 1.6.5.8)",1,1
"1226","Na(+)-translocating NADH-quinone reductase subunit A (EC 1.6.5.8)",1,1
"1227","Cell division protein BolA",1,1
"1228","23S rRNA (guanine(1835)-N(2))-methyltransferase (EC 2.1.1.174)",1,1
"1229","Hypothetical lipoprotein YajG precursor",1,1
"1230","Peptidyl-prolyl cis-trans isomerase PpiA precursor (EC 5.2.1.8)",1,1
"1231","AmpG permease",1,1
"1232","FIG111991: hypothetical protein",1,1
"1233","Uncharacterized protein, similar to the N-terminal domain of Lon protease",1,1
"1234","Outer membrane protein OmpK",1,1
"1235","2-dehydropantoate 2-reductase (EC 1.1.1.169)",1,1
"1236","DJ-1/YajL/PfpI superfamily, includes chaperone protein YajL (former ThiJ), parkinsonism-associated protein DJ-1, peptidases PfpI, Hsp31",1,1
"1237","Cysteine desulfurase (EC 2.8.1.7) => sulfur transfer pathway protein CsdA",1,1
"1238","DNA repair protein RadA",1,1
"1239","FIG01200899: hypothetical protein",1,1
"1240","Phosphoserine phosphatase (EC 3.1.3.3)",1,1
"1241","Smp-like protein",1,1
"1242","Purine nucleoside phosphorylase (EC 2.4.2.1)",1,1
"1243","Phosphopentomutase (EC 5.4.2.7)",1,1
"1244","Thymidine phosphorylase (EC 2.4.2.4)",1,1
"1245","Deoxyribose-phosphate aldolase (EC 4.1.2.4)",1,1
"1246","XapX-like protein",1,1
"1247","Nucleoside permease NupC",1,1
"1248","Putative deoxyribonuclease YjjV",1,1
"1249","FIG01200185: hypothetical protein",1,1
"1250","UPF0246 protein YaaA",1,1
"1251","Sodium:alanine symporter family protein",1,1
"1252","FIG01200900: hypothetical protein",1,1
"1253","Repair of Iron Centers di-iron protein",1,1
"1254","Uracil-DNA glycosylase, family 1 (EC 3.2.2.27)",1,1
"1255","Endonuclease IV (EC 3.1.21.2)",1,1
"1256","Autonomous glycyl radical cofactor",1,1
"1257","Transcriptional regulator VC2383, LysR family",1,1
"1258","Transmembrane protein YfcA",1,1
"1259","Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)",1,1
"1260","Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)",1,1
"1261","4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)",1,1
"1262","Mutator MutT protein (7,8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-)",1,1
"1263","Protein translocase subunit SecA",1,1
"1264","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)",1,1
"1265","Cell division protein FtsZ",1,1
"1266","Cell division protein FtsA",1,1
"1267","Cell division protein FtsQ",1,1
"1268","UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)",1,1
"1269","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)",1,1
"1270","Peptidoglycan glycosyltransferase FtsW (EC 2.4.1.129)",1,1
"1271","UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase (EC 6.3.2.9)",1,1
"1272","Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)",1,1
"1273","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)",1,1
"1274","UDP-N-acetylmuramoyl-dipeptide--2,6-diaminopimelate ligase (EC 6.3.2.13)",1,1
"1275","Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)",1,1
"1276","Cell division protein FtsL",1,1
"1277","16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)",1,1
"1278","16S rRNA (cytidine(1402)-2'-O)-methyltransferase (EC 2.1.1.198)",1,1
"1279","Penicillin-binding protein activator LpoA",1,1
"1280","UPF0102 protein YraN",1,1
"1281","DnaA initiator-associating protein DiaA",1,1
"1282","Uncharacterized protein YraP",1,1
"1283","Stringent starvation protein B",1,1
"1284","Stringent starvation protein A",1,1
"1285","Ubiquinol-cytochrome C reductase, cytochrome C1 subunit",1,1
"1286","Ubiquinol-cytochrome C reductase, cytochrome B subunit (EC 1.10.2.2)",1,1
"1287","Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)",1,1
"1288","SSU ribosomal protein S9p (S16e)",1,1
"1289","LSU ribosomal protein L13p (L13Ae)",1,1
"1290","Cell division protein ZapE",1,1
"1291","Putative cytochrome d ubiquinol oxidase subunit III (EC 1.10.3.-) (Cytochrome bd-I oxidase subunit III)",1,1
"1292","Outer membrane stress sensor protease DegQ, serine protease",1,1
"1293","Outer membrane stress sensor protease DegS",1,1
"1294","DNA topoisomerase IV subunit A (EC 5.99.1.3)",1,1
"1295","DNA topoisomerase IV subunit B (EC 5.99.1.3)",1,1
"1296","Esterase YqiA",1,1
"1297","Uncharacterized protein YqiB",1,1
"1298","ADP-ribose pyrophosphatase (EC 3.6.1.13)",1,1
"1299","Outer membrane channel TolC (OpmH)",1,1
"1300","FIG01199712: hypothetical protein",1,1
"1301","Aerobic respiration control sensor protein ArcB (EC 2.7.13.3)",1,1
"1302","[4Fe-4S]-AdoMet protein YhcC",1,1
